id,commit,commitDate,message,sessionStart,sessionEnd,durationHours,repo,author
1,9c7fc2b45e7348a0cc6da962b381f1876f513f3d,2025-02-23 09:02:59 -0700,"removed_unused",2025-02-23 09:02:59 -0700,2025-02-23 08:58:34 -0700,0,bless-auth,Flavio Espinoza
2,06df58584c728d616fa2a4e5f5040b051a127571,2025-02-23 08:58:34 -0700,"enter otp and goodbye components refactored.",2025-02-23 08:58:34 -0700,2025-02-23 08:39:26 -0700,0,bless-auth,Flavio Espinoza
3,b5e02c0d8dc78ae1957a52f32f312be917c3583c,2025-02-23 08:39:26 -0700,"dark_light_mode",2025-02-23 08:39:26 -0700,2025-02-19 16:56:39 -0700,0,bless-auth,Flavio Espinoza
4,4060bd2610cbad39958dd98a46889eb3b95c0785,2025-02-19 16:56:39 -0700,"title",2025-02-19 16:56:39 -0700,2025-02-19 16:42:12 -0700,0,bless-auth,Flavio Espinoza
5,680f1064eac6d5c16e8e21f3d3979d4dc48cd179,2025-02-19 16:42:12 -0700,"removed_unused",2025-02-19 16:42:12 -0700,2025-02-19 16:34:26 -0700,0,bless-auth,Flavio Espinoza
6,4dc69a3dade2ed3af921f81697c47c2860d5f45f,2025-02-19 16:34:26 -0700,"formatting",2025-02-19 16:34:26 -0700,2025-02-19 16:30:37 -0700,0,bless-auth,Flavio Espinoza
7,0c2b6e87ff80609c7a630cbc0ab7aa66d5667d38,2025-02-19 16:30:37 -0700,"Refactored the UI to match bless.network/dashboard/login. Added social login buttions.",2025-02-19 16:30:37 -0700,2025-03-14 18:03:28 -0600,552.55,bless-auth,Flavio Espinoza
8,54e6ca68724841f7b1c61b05331218b3c25d2193,2025-03-14 18:03:28 -0600,"Merge pull request #5 from blessnetwork/dependabot/npm_and_yarn/prismjs-1.30.0",2025-03-14 18:03:28 -0600,2025-03-13 13:40:36 -0600,0,bless-ui,Flavio Espinoza
9,28d1476f0357362ed1fd85beee4fbf3eefa11716,2025-03-13 13:40:36 -0600,"fix: Sidenav not collapsing on desktop.",2025-03-13 13:40:36 -0600,2025-03-11 13:53:50 -0600,0,bless-ui,Flavio Espinoza
10,ef40ac98c97fb1af295f91b5bec8243f31a41bfe,2025-03-11 13:53:50 -0600,"header_in_progress",2025-03-11 13:53:50 -0600,2025-03-11 12:06:21 -0600,0,bless-ui,Flavio Espinoza
11,7984164c73314ae5aefa14ecbaf51f7f29c5ea34,2025-03-11 12:06:21 -0600,"Fixed collapse error.",2025-03-11 12:06:21 -0600,2025-03-11 11:54:58 -0600,0,bless-ui,Flavio Espinoza
12,207e01cce0383a55fe25bc924dc885b38b1bb932,2025-03-11 11:54:58 -0600,"Fixed collapse error.",2025-03-11 11:54:58 -0600,2025-03-11 11:47:31 -0600,0,bless-ui,Flavio Espinoza
13,1ac2c83f07afd6196874c676932aeee46cfea94f,2025-03-11 11:47:31 -0600,"Merge branch 'main' of https://github.com/blocklessnetwork/bless-ui into main",2025-03-11 11:47:31 -0600,2025-03-11 11:46:13 -0600,0,bless-ui,Flavio Espinoza
14,63d6f41d2986c42c0cce01a7992dc5fafc452ebd,2025-03-11 11:46:13 -0600,"main",2025-03-11 11:46:13 -0600,2025-03-11 10:39:30 -0600,0,bless-ui,Flavio Espinoza
15,06e649e727497a660041aeffa8e22d2d2fed331c,2025-03-11 10:39:30 -0600,"Create nextjs.yml",2025-03-11 10:39:30 -0600,2025-03-11 10:18:04 -0600,0,bless-ui,Flavio Espinoza
16,f51869281a2a543fdc1f503ebd19596d52a3b989,2025-03-11 10:18:04 -0600,"Update docs.yml",2025-03-11 10:18:04 -0600,2025-03-11 09:49:38 -0600,0,bless-ui,Flavio Espinoza
17,3b5558e8fe743ef99b0bd6be0283465b003d1874,2025-03-11 09:49:38 -0600,"Merge pull request #4 from blessnetwork/highlight",2025-03-11 09:49:38 -0600,2025-03-10 14:10:47 -0600,0,bless-ui,Flavio Espinoza
18,52b775b11b00e315316a0c1f0e5834e4228d3c16,2025-03-10 14:10:47 -0600,"fresh_yarn_lock",2025-03-10 14:10:47 -0600,2025-03-10 14:08:36 -0600,0,bless-ui,Flavio Espinoza
19,a9fdd8783e4e94bb8989970d32da655070117478,2025-03-10 14:08:36 -0600,"resolved_conflicts",2025-03-10 14:08:36 -0600,2025-03-10 14:06:16 -0600,0,bless-ui,Flavio Espinoza
20,ca771145577823b778a045dc24b41035ea7849ad,2025-03-10 14:06:16 -0600,"removed_yarn_lock",2025-03-10 14:06:16 -0600,2025-03-10 13:52:35 -0600,0,bless-ui,Flavio Espinoza
21,f3123467c53b73aa0dda64f58f892518dfec151d,2025-03-10 13:52:35 -0600,"formatting",2025-03-10 13:52:35 -0600,2025-03-10 13:52:08 -0600,0,bless-ui,Flavio Espinoza
22,51fe6fe4bf5af38c368929c456106b3c4d9fe4e3,2025-03-10 13:52:08 -0600,"feat: update side-nav and page components to resize <main> when menu collapses or opens",2025-03-10 13:52:08 -0600,2025-03-10 13:24:04 -0600,0,bless-ui,Flavio Espinoza
23,7819d3b1ebca43a12826fa975efe381d8bd00dbf,2025-03-10 13:24:04 -0600,"feat: update side-nav, popover, and page components for improved navigation and popovers",2025-03-10 13:24:04 -0600,2025-03-10 11:51:02 -0600,0,bless-ui,Flavio Espinoza
24,f51888376e6a17663e71780c74d437b8cbeec2e0,2025-03-10 11:51:02 -0600,"Merge pull request #3 from blessnetwork/dependabot/npm_and_yarn/next-14.2.21",2025-03-10 11:51:02 -0600,2025-03-10 11:50:53 -0600,0,bless-ui,Flavio Espinoza
25,b60fe8f37a68500c4c3e2dea7d971d0142e978cd,2025-03-10 11:50:53 -0600,"Merge branch 'main' into dependabot/npm_and_yarn/next-14.2.21",2025-03-10 11:50:53 -0600,2025-03-10 11:49:59 -0600,0,bless-ui,Flavio Espinoza
26,5f1371e0334401714931b1dec087092913cfa8b6,2025-03-10 11:49:59 -0600,"Merge pull request #2 from blessnetwork/dependabot/npm_and_yarn/nanoid-3.3.8",2025-03-10 11:49:59 -0600,2025-03-10 11:49:46 -0600,0,bless-ui,Flavio Espinoza
