sessionStart,sessionEnd,durationHours
2025-03-14T01:46:55.522Z,2025-03-14T01:50:31.667Z,0.06
2025-03-14T01:50:31.667Z,2025-03-14T01:53:13.334Z,0.04
2025-03-14T01:53:13.334Z,2025-03-14T01:54:42.464Z,0.02
2025-03-14T01:54:42.464Z,2025-03-14T01:57:30.879Z,0.05
2025-03-14T01:57:30.879Z,2025-03-14T01:58:07.630Z,0.01
2025-03-14T01:58:07.630Z,2025-03-14T02:01:39.773Z,0.06
2025-03-14T02:01:39.773Z,2025-03-14T02:02:28.447Z,0.01
2025-03-14T02:02:28.447Z,2025-03-14T02:02:52.229Z,0.01
2025-03-14T02:02:52.229Z,2025-03-14T02:05:56.052Z,0.05
2025-03-14T02:05:56.052Z,2025-03-14T02:06:05.368Z,0.00
2025-03-14T02:06:05.368Z,2025-03-14T02:06:37.180Z,0.01
2025-03-14T02:06:37.180Z,2025-03-14T02:07:12.127Z,0.01
2025-03-14T02:07:12.127Z,2025-03-14T02:07:56.956Z,0.01
2025-03-14T02:07:56.956Z,2025-03-14T02:09:52.023Z,0.03
2025-03-14T02:09:52.023Z,2025-03-14T02:11:01.549Z,0.02
2025-03-14T02:11:01.549Z,2025-03-14T02:13:02.476Z,0.03
2025-03-14T02:13:02.476Z,2025-03-14T02:14:31.294Z,0.02
2025-03-14T02:14:31.294Z,2025-03-14T02:14:59.139Z,0.01
2025-03-14T02:14:59.139Z,2025-03-14T02:15:25.237Z,0.01
2025-03-14T02:15:25.237Z,2025-03-14T02:15:34.447Z,0.00
2025-03-14T02:15:34.447Z,2025-03-14T02:16:11.424Z,0.01
2025-03-14T02:16:11.424Z,2025-03-14T02:16:31.619Z,0.01
2025-03-14T02:16:31.619Z,2025-03-14T02:18:02.402Z,0.03
2025-03-14T02:18:02.402Z,2025-03-14T02:19:57.495Z,0.03
2025-03-14T02:19:57.495Z,2025-03-14T02:20:20.172Z,0.01
2025-03-14T02:20:20.172Z,2025-03-14T02:20:48.698Z,0.01
2025-03-14T02:20:48.698Z,2025-03-14T02:21:37.583Z,0.01
2025-03-14T02:21:37.583Z,2025-03-14T02:22:06.453Z,0.01
2025-03-14T02:22:06.453Z,2025-03-14T02:23:30.497Z,0.02
2025-03-14T02:23:30.497Z,2025-03-14T02:25:37.379Z,0.04
2025-03-14T02:25:37.379Z,2025-03-14T02:29:02.932Z,0.06
2025-03-14T02:29:02.932Z,2025-03-14T02:31:22.284Z,0.04
2025-03-14T02:31:22.284Z,2025-03-14T02:32:12.144Z,0.01
2025-03-14T02:32:12.144Z,2025-03-14T02:32:44.052Z,0.01
2025-03-14T02:32:44.052Z,2025-03-14T02:33:06.099Z,0.01
2025-03-14T02:33:06.099Z,2025-03-14T02:33:24.924Z,0.01
2025-03-14T02:33:24.924Z,2025-03-14T02:33:52.845Z,0.01
2025-03-14T02:33:52.845Z,2025-03-14T02:34:34.024Z,0.01
2025-03-14T02:34:34.024Z,2025-03-14T02:36:59.376Z,0.04
2025-03-14T02:36:59.376Z,2025-03-14T02:37:18.668Z,0.01
2025-03-14T02:37:18.668Z,2025-03-14T02:39:01.791Z,0.03
2025-03-14T02:39:01.791Z,2025-03-14T02:39:39.975Z,0.01
2025-03-14T02:39:39.975Z,2025-03-14T02:41:27.148Z,0.03
2025-03-14T02:41:27.148Z,2025-03-14T02:41:54.415Z,0.01
2025-03-14T02:41:54.415Z,2025-03-14T02:45:22.883Z,0.06
2025-03-14T02:45:22.883Z,2025-03-14T02:45:36.109Z,0.00
